65527;1;3.24125e+06
65528;1;530974
65529;1;86983.9
65530;1;14249.7
65531;1;2334.2
65532;1;382.156
65533;1;62.3587
65534;1;13.2885
65535;1;3.85424
65536;1;1.52588
65527;10;1.79669e+15
65528;10;2.94328e+13
65529;10;4.82169e+11
65530;10;7.89901e+09
65531;10;1.29406e+08
65532;10;2.12002e+06
65533;10;34732.2
65534;10;758.669
65535;10;24.8093
65536;10;1.52588
65527;100;1.69378e+24
65528;100;2.7747e+21
65529;100;4.54552e+18
65530;100;7.44658e+15
65531;100;1.21994e+13
65532;100;1.99859e+10
65533;100;3.27429e+07
65534;100;71524.7
65535;100;234.36
65536;100;1.52588
65527;1000;1.68382e+33
65528;1000;2.75839e+29
65529;1000;4.51879e+25
65530;1000;7.40279e+21
65531;1000;1.21276e+18
65532;1000;1.98684e+14
65533;1000;3.25504e+10
65534;1000;7.11041e+06
65535;1000;2329.87
65536;1000;1.52588
