900;1;9.20287
910;1;10.0629
920;1;11.0866
930;1;12.3217
940;1;13.8346
950;1;15.7206
960;1;18.1187
970;1;21.2386
980;1;25.405
990;1;31.1382
1000;1;39.3032
900;2;0.907594
910;2;0.915893
920;2;0.924345
930;2;0.932954
940;2;0.941724
950;2;0.950661
960;2;0.959769
970;2;0.969052
980;2;0.978516
990;2;0.988167
1000;2;0.99801
900;3;0.475867
910;3;0.478141
920;3;0.480436
930;3;0.482754
940;3;0.485094
950;3;0.487457
960;3;0.489843
970;3;0.492253
980;3;0.494686
990;3;0.497144
1000;3;0.499626
900;4;0.322447
910;4;0.323489
920;4;0.324539
930;4;0.325595
940;4;0.326658
950;4;0.327728
960;4;0.328805
970;4;0.329889
980;4;0.330981
990;4;0.332079
1000;4;0.333185
